sample	pop	perf	assay	run	url	date
ERS185470	CEU	CNAG_CRG	NA06986.2.M_111215_4	ERR188213	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188213/ERR188213_1.fastq.gz	111215
ERS185470	CEU	CNAG_CRG	NA06986.2.M_111215_4	ERR188213	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188213/ERR188213_2.fastq.gz	111215
ERS185383	CEU	CNAG_CRG	NA06994.2.M_111215_7	ERR188047	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188047/ERR188047_1.fastq.gz	111215
ERS185383	CEU	CNAG_CRG	NA06994.2.M_111215_7	ERR188047	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188047/ERR188047_2.fastq.gz	111215
ERS185346	CEU	CNAG_CRG	NA07346.2.M_111215_7	ERR188135	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188135/ERR188135_1.fastq.gz	111215
ERS185346	CEU	CNAG_CRG	NA07346.2.M_111215_7	ERR188135	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188135/ERR188135_2.fastq.gz	111215
ERS185180	CEU	CNAG_CRG	NA07357.2.M_111216_5	ERR188176	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188176/ERR188176_1.fastq.gz	111216
ERS185180	CEU	CNAG_CRG	NA07357.2.M_111216_5	ERR188176	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188176/ERR188176_2.fastq.gz	111216
ERS185066	CEU	CNAG_CRG	NA11832.2.M_120131_2	ERR188217	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188217/ERR188217_1.fastq.gz	120131
ERS185066	CEU	CNAG_CRG	NA11832.2.M_120131_2	ERR188217	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188217/ERR188217_2.fastq.gz	120131
ERS185454	CEU	CNAG_CRG	NA11894.2.M_111215_4	ERR188122	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188122/ERR188122_1.fastq.gz	111215
ERS185454	CEU	CNAG_CRG	NA11894.2.M_111215_4	ERR188122	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188122/ERR188122_2.fastq.gz	111215
ERS185051	CEU	CNAG_CRG	NA11920.2.M_120131_1	ERR188371	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188371/ERR188371_1.fastq.gz	120131
ERS185051	CEU	CNAG_CRG	NA11920.2.M_120131_1	ERR188371	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188371/ERR188371_2.fastq.gz	120131
ERS185053	CEU	CNAG_CRG	NA11993.2.M_111216_4	ERR188233	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188233/ERR188233_1.fastq.gz	111216
ERS185053	CEU	CNAG_CRG	NA11993.2.M_111216_4	ERR188233	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188233/ERR188233_2.fastq.gz	111216
ERS185092	CEU	CNAG_CRG	NA11994.2.M_111216_7	ERR188301	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188301/ERR188301_1.fastq.gz	111216
